[API Trapper      (1928: f60)] Recording in 32-bit mode: C:\Program Files (x86)\Internet Explorer\iexplore.exe
[API Trapper      ( fc8:1264)] Recording in 64-bit mode: C:\Program Files\Internet Explorer\IEXPLORE.EXE
[API Trapper      (1eb4:1b34)] Recording in 32-bit mode: C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE
[Network Analyzer (1eb4: b40)] ------------------------------------------------------------------------------------------
[Network Analyzer (1eb4: b40)] Load Network Traffic Analyzers:
[Network Analyzer (1eb4: b40)]     Analyzer Module: WPLUS (value=)
[Network Analyzer (1eb4: b40)]     Analyzer Module: WebBase (value=GetHttpProtocolAnalyzer:api_http_filter.dll)
[Network Analyzer (1eb4: b40)]     + Network Analyzer: api_http_filter.dll @ GetHttpProtocolAnalyzer Loaded!
[Network Analyzer (1eb4: b40)]     + Interception Auditors: WinInetWplusInterceptionAudit:api_http_filter.dll
[Network Analyzer (1eb4: b40)]     Analyzer Module: QTWeb (value=GetWebSocketProtocolAnalyzer:WebSocketAnalyzer.dll)
[Network Analyzer (1eb4: b40)]     + Network Analyzer: WebSocketAnalyzer.dll @ GetWebSocketProtocolAnalyzer Loaded!
[Network Analyzer (1eb4: b40)]     Analyzer Module: local_server (value=)
[Network Analyzer (1eb4: b40)] ------------------------------------------------------------------------------------------
[Network Analyzer (1eb4:12dc)] Address lookup for PLRaju_Dell = 192.168.0.51
[Network Analyzer (1eb4: b40)] Address lookup for PLRaju_Dell = 192.168.0.51
[Network Analyzer (1eb4: b40)] Request Connection: Remote Server @ 18.222.58.52:80   (Service=)  (Sid=  1)  PROXIED!
[Web Request      (1eb4:12dc)] "GET /example0/page3.php"   
[Network Analyzer (1eb4:12dc)]   (Sid:  1) Client -> Server @ : 277 bytes (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 10220 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 10220 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 4380 bytes  (Service=HTTP)
[Network Analyzer (1eb4:167c)] Request Connection: Remote Server @ 117.18.232.200:80   (Service=)  (Sid=  8)  PROXIED!
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 2920 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 656 bytes  (Service=HTTP)
[Web Request      ( fc8:1694)] "GET /pki/mscorp/crl/Microsoft%20IT%20TLS%20CA%202.crl"   
[Network Analyzer ( fc8:1694)]   (Sid:  2) Client -> Server @ : 211 bytes (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  6) Connection Terminated (by Server)
[Web Request      (1eb4:12dc)] "GET /pki/mscorp/crl/Microsoft%20IT%20TLS%20CA%202.crl"   
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Client -> Server @ : 168 bytes (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 2784 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 8352 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 7300 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 7300 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 2920 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 2920 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  2) Server -> Client : 8024 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 2716 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1324 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 5500 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1324 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 5636 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1324 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 2784 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 2784 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 2152 bytes  (Service=HTTP)
[Network Analyzer ( fc8: bac)] Address lookup for PLRaju_Dell = 192.168.0.51
[Network Analyzer ( fc8: bac)] Request Connection: Remote Server @ 27.34.251.200:80   (Service=)  (Sid=  3)  PROXIED!
[Web Request      (1eb4:12dc)] "GET /pki/mscorp/crl/Microsoft%20IT%20TLS%20CA%202.crl"   
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Client -> Server @ : 211 bytes (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 428 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 6532 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1324 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 4176 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 2716 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 2784 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 4108 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 11136 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 2784 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 1392 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  8) Server -> Client : 2152 bytes  (Service=HTTP)
[Network Analyzer (1eb4:1630)] Address lookup for PLRaju_Dell = 192.168.0.51
[Network Analyzer (1eb4:1630)] Request Connection: Remote Server @ 27.34.251.200:80   (Service=)  (Sid=  9)  PROXIED!
[Web Request      ( fc8:1694)] "GET /pki/mscorp/crl/Microsoft%20IT%20TLS%20CA%202.crl"   
[Network Analyzer ( fc8:1694)]   (Sid:  3) Client -> Server @ : 166 bytes (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 444 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 2316 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1300 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 4140 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 2760 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1300 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 8200 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 10960 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1300 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 2460 bytes  (Service=HTTP)
[Web Request      ( fc8:1694)] "GET /pki/mscorp/crl/Microsoft%20IT%20TLS%20CA%202.crl"   
[Network Analyzer ( fc8:1694)]   (Sid:  3) Client -> Server @ : 209 bytes (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 444 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 7836 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1300 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 2760 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1300 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 2760 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 2760 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 2760 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 2760 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 2760 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 2760 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer ( fc8:1694)]   (Sid:  3) Server -> Client : 1160 bytes  (Service=HTTP)
[Web Request      (1eb4:12dc)] "GET /pki/mscorp/crl/Microsoft%20IT%20TLS%20CA%202.crl"   
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Client -> Server @ : 166 bytes (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 444 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 10596 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 1380 bytes  (Service=HTTP)
[Net An. Error    ( fc8:1a0c)] SSLAccept(ssl_id = 2348701424048 = 00000222D98399B0) Failed, ctx = 00000222D9844920, err = "SSLv3/TLS write server done", err code = 5, err msg= "error:00000005:lib(0):func(0):DH lib
" 
[Net An. Error    ( fc8:1a0c)]   (Sid:  1) Negotiate Client -> Proxy SSL Handshake Failed!!!
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 6820 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 2760 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 2760 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 13140 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 1740 bytes  (Service=HTTP)
[Web Request      (1eb4:12dc)] "GET /pki/mscorp/crl/Microsoft%20IT%20TLS%20CA%202.crl"   
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Client -> Server @ : 209 bytes (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 444 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 2316 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 2920 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 10880 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 2760 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 1460 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 2680 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 1380 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  9) Server -> Client : 14960 bytes  (Service=HTTP)
[Net An. Error    (1eb4:1cb0)] SSLAccept(ssl_id = 202465632 = 0C116160) Failed, ctx = 0C095618, err = "SSLv3/TLS write server done", err code = 5, err msg= "error:00000005:lib(0):func(0):DH lib
" 
[Net An. Error    (1eb4:1cb0)]   (Sid:  5) Negotiate Client -> Proxy SSL Handshake Failed!!!
[Network Analyzer ( fc8:1694)]   (Sid:  1) Connection Terminated (by Client)
[Network Analyzer (1eb4:12dc)]   (Sid:  5) Connection Terminated (by Client)
[Web Request      (1eb4:12dc)] "GET /example0/page1.php"   
[Network Analyzer (1eb4:12dc)]   (Sid:  7) Client -> Server @ : 326 bytes (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  7) Server -> Client : 255 bytes  (Service=HTTP)
[Network Analyzer (1eb4:12dc)]   (Sid:  7) Server -> Client : 1175 bytes  (Service=HTTP)
